Name,Type,District,State,Pincode,Address,Phone,Email,Official Website,TN Urban Tree URL,Mayor / Chairman,Commissioner / Executive Officer,Wards,Notes
Erode Municipal Corporation,Municipal Corporation,Erode,Tamil Nadu,638001,"Gandhi Road, Erode - 638001",0424-2241040,erode@tnmunicipal.in,https://www.erodecorporation.tn.gov.in/,http://www.tnurbantree.tn.gov.in/erode/,,,60,Grade I Municipal Corporation
Bhavani Municipality,Municipality,Erode,Tamil Nadu,638301,"Municipal Office, Mettur Road, Bhavani - 638301",04256-222055,,http://www.tnurbantree.tn.gov.in/bhavani/,http://www.tnurbantree.tn.gov.in/bhavani/,,,30,Grade III Municipality; on confluence of Kaveri & Bhavani rivers
Gobichettipalayam Municipality,Municipality,Erode,Tamil Nadu,638452,"Municipal Office, Salem Road, Gobichettipalayam - 638452",04285-222344,,http://www.tnurbantree.tn.gov.in/gobichettipalayam/,http://www.tnurbantree.tn.gov.in/gobichettipalayam/,,,30,Grade III Municipality; also known as Gobi
Sathyamangalam Municipality,Municipality,Erode,Tamil Nadu,638401,"Municipal Office, Sathyamangalam - 638401",04295-220055,,http://www.tnurbantree.tn.gov.in/sathyamangalam/,http://www.tnurbantree.tn.gov.in/sathyamangalam/,,,24,Grade III Municipality; gateway to Sathyamangalam Tiger Reserve
Perundurai Municipality,Municipality,Erode,Tamil Nadu,638052,"Municipal Office, Perundurai - 638052",04294-220055,,http://www.tnurbantree.tn.gov.in/perundurai/,http://www.tnurbantree.tn.gov.in/perundurai/,,,24,Grade III Municipality; SIPCOT Industrial area nearby
Anthiyur Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638501,"Town Panchayat Office, Anthiyur - 638501",04259-242055,,http://www.tnurbantree.tn.gov.in/anthiyur/,http://www.tnurbantree.tn.gov.in/anthiyur/,,,15,Bordering Karnataka; tourism and forest area
Nambiyur Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638458,"Town Panchayat Office, Nambiyur - 638458",04285-250055,,http://www.tnurbantree.tn.gov.in/nambiyur/,http://www.tnurbantree.tn.gov.in/nambiyur/,,,12,Agricultural town near Gobichettipalayam taluk
Kodumudi Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638151,"Town Panchayat Office, Kodumudi - 638151",04204-230055,,http://www.tnurbantree.tn.gov.in/kodumudi/,http://www.tnurbantree.tn.gov.in/kodumudi/,,,15,Known for Murugan temple on Kaveri river island
Kavindapadi Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638455,"Town Panchayat Office, Kavindapadi - 638455",04285-257055,,http://www.tnurbantree.tn.gov.in/kavindapadi/,http://www.tnurbantree.tn.gov.in/kavindapadi/,,,12,Near Gobichettipalayam; sugarcane belt
Thindal Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638012,"Town Panchayat Office, Thindal - 638012",0424-2556055,,http://www.tnurbantree.tn.gov.in/thindal/,http://www.tnurbantree.tn.gov.in/thindal/,,,12,Near Erode city; Muruganar temple at Thindal
Veerappanchatram Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638004,"Town Panchayat Office, Veerappanchatram - 638004",0424-2268055,,http://www.tnurbantree.tn.gov.in/veerappanchatram/,http://www.tnurbantree.tn.gov.in/veerappanchatram/,,,12,Near Erode; textile and turmeric trade
Sivagiri Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638109,"Town Panchayat Office, Sivagiri - 638109",04294-261055,,http://www.tnurbantree.tn.gov.in/sivagiri/,http://www.tnurbantree.tn.gov.in/sivagiri/,,,12,Perundurai taluk; handloom weaving area
Modakkurichi Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638104,"Town Panchayat Office, Modakkurichi - 638104",0424-2480055,,http://www.tnurbantree.tn.gov.in/modakkurichi/,http://www.tnurbantree.tn.gov.in/modakkurichi/,,,12,Near Erode; known for coconut and groundnut farming
Vellakoil Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638111,"Town Panchayat Office, Vellakoil - 638111",04294-224055,,http://www.tnurbantree.tn.gov.in/vellakoil/,http://www.tnurbantree.tn.gov.in/vellakoil/,,,12,Perundurai taluk; agricultural and handloom area
Thalavadi Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638461,"Town Panchayat Office, Thalavadi - 638461",04259-245055,,http://www.tnurbantree.tn.gov.in/thalavadi/,http://www.tnurbantree.tn.gov.in/thalavadi/,,,12,Hill area bordering Karnataka; tribal region
Bhavani Sagar Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638452,"Town Panchayat Office, Bhavani Sagar - 638452",04285-256055,,http://www.tnurbantree.tn.gov.in/bhavanisagar/,http://www.tnurbantree.tn.gov.in/bhavanisagar/,,,12,Bhavani Sagar Dam location; Gobi taluk
