LocalBodyId,LocalBodyName,LocalBodyType,DistrictName,StateName,Pincode,Address,ContactNumber,Email,OfficialWebsiteUrl,TnurbantreeUrl,ChairpersonName,CommissionerName,WardCount,Population,EstablishedYear,AboutDescription
,Chennai Municipal Corporation,Municipal Corporation,Chennai,Tamil Nadu,600003,"Ripon Building, EVR Periyar Salai, Chennai - 600003",044-25384530,,https://www.chennaicorporation.gov.in/,http://www.tnurbantree.tn.gov.in/chennai/,,,200,"7088000",1688,Greater Chennai Corporation is the largest municipal corporation in Tamil Nadu. It was established in 1688 and is one of the oldest municipal bodies in India. It covers an area of 426 sq km and serves over 70 lakh residents across Chennai city.
,Coimbatore Municipal Corporation,Municipal Corporation,Coimbatore,Tamil Nadu,641018,"Corporation Office, Coimbatore - 641018",0422-2392000,,https://www.coimbatorecorporation.gov.in/,http://www.tnurbantree.tn.gov.in/coimbatore/,,,100,"1601438",1981,Coimbatore City Municipal Corporation is known as the Manchester of South India due to its thriving textile and engineering industries. It is the second largest corporation in Tamil Nadu and covers 246 sq km.
,Madurai Municipal Corporation,Municipal Corporation,Madurai,Tamil Nadu,625020,"Corporation Building, Madurai - 625020",0452-2530000,,https://www.maduraicorporation.gov.in/,http://www.tnurbantree.tn.gov.in/madurai/,,,100,"1462420",1971,Madurai City Municipal Corporation governs the ancient temple city of Madurai in Tamil Nadu. Known for the Meenakshi Amman Temple, it is one of the oldest living cities in the world and the cultural capital of Tamil Nadu.
,Tiruchirappalli Municipal Corporation,Municipal Corporation,Tiruchirappalli,Tamil Nadu,620001,"Municipal Corporation Office, Tiruchirappalli - 620001",0431-2415000,,https://www.corporationoftrichy.in/,http://www.tnurbantree.tn.gov.in/trichy/,,,65,"916857",1994,Tiruchirappalli City Municipal Corporation (Trichy) is a major city in Tamil Nadu situated at the centre of the state. Known for the Rock Fort Temple and as an educational hub with NIT Trichy and Bharathidasan University.
,Salem Municipal Corporation,Municipal Corporation,Salem,Tamil Nadu,636001,"Corporation Building, Saradha College Road, Salem - 636001",0427-2230010,,https://www.salemcorporation.gov.in/,http://www.tnurbantree.tn.gov.in/salem/,,,60,"831038",2008,Salem City Municipal Corporation is known as the Steel City of Tamil Nadu due to the Salem Steel Plant. It is also famous for mango production and silk weaving. The corporation covers an area of 87 sq km.
,Tirunelveli Municipal Corporation,Municipal Corporation,Tirunelveli,Tamil Nadu,627001,"Corporation Building, Tirunelveli - 627001",0462-2333000,,https://www.tirunelvelicorporation.gov.in/,http://www.tnurbantree.tn.gov.in/tirunelveli/,,,55,"474838",1994,Tirunelveli City Municipal Corporation governs the southern city of Tirunelveli, famous for Halwa and the Nellaiappar Temple. The city is located on the banks of the Tamiraparani river.
,Tiruppur Municipal Corporation,Municipal Corporation,Tiruppur,Tamil Nadu,641604,"Corporation Building, Tiruppur - 641604",0421-2200000,,https://www.tirupurcorporation.gov.in/,http://www.tnurbantree.tn.gov.in/tirupur/,,,55,"877778",2008,Tiruppur City Municipal Corporation is known as the Knitwear Capital of India. It contributes significantly to India's textile exports. Located in western Tamil Nadu it is one of the fastest growing cities in the country.
,Erode Municipal Corporation,Municipal Corporation,Erode,Tamil Nadu,638001,"Gandhi Road, Erode - 638001",0424-2241040,,https://www.erodecorporation.tn.gov.in/,http://www.tnurbantree.tn.gov.in/erode/,,,60,"214000",2008,Erode City Municipal Corporation is known as the Textile City and Turmeric City of India. It is situated on the banks of the Cauvery and Bhavani rivers. The city is a major hub for cotton and turmeric trade in South India.
,Vellore Municipal Corporation,Municipal Corporation,Vellore,Tamil Nadu,632001,"Corporation Office, Vellore - 632001",0416-2225000,,https://www.velloresmartcity.in/,http://www.tnurbantree.tn.gov.in/vellore/,,,60,"423425",2011,Vellore City Municipal Corporation governs the historic city of Vellore known for the Vellore Fort, Jalakandeswarar Temple, and CMC Hospital. The city is an important educational and medical hub in Tamil Nadu.
,Thoothukudi Municipal Corporation,Municipal Corporation,Thoothukudi,Tamil Nadu,628001,"Corporation Office, Thoothukudi - 628001",0461-2322000,,,http://www.tnurbantree.tn.gov.in/thoothukudi/,,,48,"237065",2011,Thoothukudi (Tuticorin) Municipal Corporation governs the major port city of southern Tamil Nadu. It is known for its pearl fishing, salt production, and V.O. Chidambaranar Port. The city played a significant role in India's freedom struggle.
